LE,gammaE,loglik
36.974266,0.5883158,-71.54336
26.204906,0.679668,-71.59884
27.398146,0.5233643,-71.862686
23.339695,0.48259673,-72.317825
16.10591,0.3884005,-73.552826
64.94713,0.49096775,-72.008835
53.997494,0.53191876,-71.83483
20.936161,0.5068473,-72.37482
22.981762,0.5163545,-72.15779
19.241087,0.8093617,-72.20451
19.310759,0.7480869,-71.98639
23.72567,0.7261542,-71.736946
17.903269,0.69433534,-72.10222
22.285946,0.7373321,-71.80288
18.426981,0.60751885,-72.20885
18.010115,0.6901623,-72.09221
18.192295,0.66848516,-72.094864
21.936981,0.7859884,-72.01359
27.678463,0.5774056,-71.64445
41.29223,0.49132016,-71.70414
29.874708,0.57912624,-71.578125
46.06382,0.6746304,-72.55609
36.16457,0.52845114,-71.6181
29.793087,0.6219032,-71.525604
26.794561,0.6685767,-71.57722
40.963875,0.47063366,-71.78903
60.31146,0.4416922,-71.921394
37.929344,0.5608793,-71.55411
25.632082,0.5790289,-71.724396
15.857152,0.9367704,-73.34616
15.9489155,0.6013871,-72.58084
17.667938,0.67917544,-72.14669
15.837119,0.5988831,-72.60718
19.40782,0.6543837,-71.98115
40.752914,0.43015504,-72.00587
31.308216,0.50783813,-71.79067
21.804468,0.33219483,-73.446266
21.02697,0.33663684,-73.46394
14.610944,0.30864298,-74.17551
27.602283,0.41582224,-72.49843
24.548592,0.3570509,-73.094955
23.38847,0.35034877,-73.21264
24.607155,0.44773743,-72.44777
27.783165,0.41431633,-72.50036
20.977148,0.43155032,-72.81479
28.094416,0.4339089,-72.349495
12.671296,0.5526182,-73.372215
9.00369,0.4303652,-74.600815
31.351696,0.4045709,-72.42003
16.521345,0.35354754,-73.71675
25.810696,1.0210217,-77.748856
20.284416,0.8729892,-72.69951
22.95568,0.9040539,-73.39021
32.534405,0.3791015,-72.57036
19.460464,0.36709675,-73.36568
27.469584,0.18493016,-74.52891
17.299997,0.12601244,-75.49651
11.177611,0.19481383,-75.15167
37.937828,0.10093242,-75.6204
18.224966,0.80560106,-72.246216
20.313183,0.70981115,-71.862595
33.594826,0.58497024,-71.52569
22.21835,0.85479593,-72.59964
12.871252,0.8931798,-73.3876
13.703548,0.7189914,-72.81503
14.2866955,0.5756601,-72.96109
17.717688,0.5005686,-72.745605
25.732502,0.5953668,-71.672195
23.014389,0.63583976,-71.725296
30.480738,0.5969278,-71.536194
56.02328,0.44050586,-71.894325
53.78935,0.45740864,-71.83271
10.670235,0.7987346,-73.7599
10.331228,0.7811599,-73.86584
10.805614,0.75561637,-73.66526
26.380836,0.56410456,-71.73983
27.58631,0.69086754,-71.61893
15.030218,0.59111154,-72.77197
27.263847,0.56030184,-71.715164
28.61832,0.6166999,-71.54408
25.113867,0.5168489,-72.01393
30.399143,0.6426428,-71.5343
16.881754,0.766521,-72.26698
17.183184,0.60282236,-72.38762
12.464913,0.8993542,-73.51188
14.877341,0.5790295,-72.838936
23.373135,0.6291287,-71.71617
25.620314,0.74520314,-71.81851
14.572876,0.6914392,-72.644424
32.95253,0.8460951,-74.03281
22.514153,0.40607008,-72.86674
28.72163,0.42803955,-72.36069
19.453382,0.7306414,-71.94812
23.051048,0.7888709,-72.03735
16.78516,0.77063453,-72.286835
15.8586,0.76959914,-72.417076
22.971695,0.7005032,-71.70593
25.944199,0.6498772,-71.585335
21.628038,0.6969182,-71.76859
24.57536,0.66259456,-71.62604
20.985977,0.6169662,-71.91569
19.98501,0.8084845,-72.17275
18.991879,0.86100537,-72.56221
14.521465,0.8770201,-72.998535
17.775248,0.6102488,-72.28315
19.615831,0.57477796,-72.189285
31.330618,0.58359843,-71.54419
48.44272,0.65176797,-72.45517
32.128437,0.5949533,-71.52295
22.009277,0.5994457,-71.88315
34.930588,0.5326599,-71.61841
66.149666,0.39726067,-72.09668
78.70622,0.43084866,-72.1704
80.0387,0.37018237,-72.27264
46.18921,0.48435622,-71.7231
59.163094,0.4306382,-71.94261
76.36046,0.3686602,-72.26028
50.797863,0.35459533,-72.40021
26.934505,0.46361268,-72.21406
22.487164,0.8587365,-72.66502
24.79158,0.8622646,-72.94509
23.650627,0.43826234,-72.57167
23.560047,0.60847116,-71.75107
18.317741,0.70286417,-72.0488
30.546694,0.8120177,-72.90323
29.576265,0.56152654,-71.632256
35.607372,0.6604974,-71.7108
28.473864,0.67926645,-71.59337
26.254185,0.7645517,-71.96147
18.13322,0.67604196,-72.09175
23.723457,0.7273296,-71.74049
26.952015,0.8844535,-73.6992
18.287628,0.4508096,-72.95018
35.734516,0.7949631,-73.373375
27.968163,0.74053925,-71.86312
18.188084,0.73886746,-72.076065
27.248537,0.662971,-71.56615
14.469943,0.8307953,-72.80104
12.906708,0.7555131,-73.01521
13.09482,0.74221826,-72.96166
12.195443,0.7424412,-73.20773
13.958869,0.91017747,-73.288994
24.781822,0.6656524,-71.61919
18.304382,0.5553715,-72.417656
26.152782,0.64049655,-71.58316
33.102394,0.58265924,-71.52969
