eqid,num_recs,magnitude,E,EA,EAS
1002,184,5.39,-222.61955053858327,-218.87529785560506,-215.8325170473286
1003,126,5.2,-149.45620143404423,-146.9025420113523,-147.0476049379536
1006,118,5.03,-150.51626832985988,-149.06159684909218,-148.65414180318797
1007,107,4.88,-122.76869596555106,-123.22049523739018,-122.57403316060984
1008,97,4.77,-118.64120371216065,-117.14186293367199,-118.28128566305125
1011,169,4.7,-198.2689738036469,-200.86058358303498,-196.7230962709614
1012,126,4.69,-175.8102059466249,-176.451024975645,-174.25208797018016
1013,59,4.6,-75.72810501158307,-74.58795029266614,-75.52518977682078
1014,139,4.59,-207.98088057627209,-204.7023590959437,-202.6958745912739
1015,122,4.18,-169.79284644626927,-168.53741625556356,-166.21661128560984
1016,118,4.34,-179.7929472899885,-178.767496648548,-176.89787044088328
1018,245,4.45,-326.879686017735,-323.41249002719206,-323.25004329244575
1019,189,4.66,-250.16880362171386,-249.49384745714008,-243.83138789693797
1020,84,4.26,-114.52939730184573,-113.97161688901532,-114.59696712057078
1021,138,4.3,-164.17677327451347,-163.84261194814883,-165.53971614400828
1022,83,4.35,-93.85172987534924,-93.70176241590802,-94.38645686666453
1023,110,4.5,-153.48097861001784,-150.2006537725873,-150.7807592348286
1025,85,4.42,-107.44859043683341,-107.24286282426841,-107.75813808004344
1027,47,4.78,-54.14067931504894,-53.61490239442489,-53.8323720888325
1028,196,4.73,-234.81365459926872,-230.9489254248166,-230.11500300924266
1030,69,4.3,-83.9267928193756,-83.97185564415679,-85.5279058412739
1031,82,4.25,-102.07852795924371,-102.09706214694428,-102.84660853902781
1032,75,4.2,-115.08703128979558,-113.96402156817717,-114.86430110494578
1033,51,4.3,-63.16575089992523,-62.597254281585336,-59.99292125265086
1034,50,4.5,-65.11896121838178,-65.21365906922028,-65.51287974874461
1035,105,4.26,-125.69481955709094,-123.4444445772459,-122.573705096645
1038,89,4.27,-110.85036668399204,-110.00805249878712,-110.21995296041453
1042,43,4.42,-52.802626291233366,-52.42542601257192,-52.50710048238719
1043,73,4.12,-92.83588142817449,-92.34526997412685,-94.21798457662547
1044,74,4.14,-110.8122785813192,-110.29233891600173,-110.64668788473094
1045,161,4.2,-224.0369336650024,-219.72519171492797,-222.81796016256297
1046,99,4.23,-124.23595594373454,-119.88036799464061,-120.90393580953562
1048,46,4.27,-53.143346318341784,-53.05775882238261,-53.10361995260203
1049,65,4.0,-86.72854773537122,-85.26100445007347,-85.4399389223286
1050,109,4.18,-146.3037637632798,-145.32878126679108,-147.50399531881297
1051,130,4.1,-182.29373287675838,-189.2397238375565,-187.9913305238911
1052,59,4.11,-86.03354139959069,-86.82814448032323,-87.52612819234812
1053,50,4.34,-67.11773369853496,-66.38216640633391,-65.82256831685984
1054,70,4.26,-89.04848141855777,-88.02357191833737,-87.84829463521922
1059,103,4.0,-137.80385637037205,-137.5353270713232,-139.59763850728953
1060,112,4.0,-150.2720479882365,-151.56805291003212,-152.43902339498484
1061,43,4.11,-55.21925048647462,-54.69983383860277,-54.69727458517039
1062,62,4.06,-82.00446782438046,-79.94491925023078,-80.54317988912547
1064,95,4.19,-119.45567988963295,-119.12645592254576,-119.2420171693989
1065,42,4.2,-68.53624597086508,-69.2160798283933,-68.35147990743602
1066,106,3.9,-129.57780854242498,-130.78382250044763,-128.66309871236766
1068,53,4.06,-72.86600091925995,-73.33818945135071,-71.8621686891743
1069,82,3.9,-108.54759228280804,-106.21342324400506,-107.17532100240672
1070,83,3.96,-106.10489958538945,-108.37921445187662,-109.24769343893016
1075,86,4.17,-107.77966435555398,-105.22586633420701,-105.59778346578562
1076,64,3.79,-77.75422944464734,-78.06156702339602,-78.31483974019969
1079,97,3.7,-143.430502685452,-143.88617424384978,-144.51310481588328
1081,51,3.8,-78.84182454320408,-78.27968098960606,-78.50035609762156
1085,54,3.94,-64.01426344850019,-63.11441954044929,-62.91076793233836
1086,68,4.19,-104.50069336319606,-104.02260288119564,-102.76675166646922
1089,49,4.05,-103.23011597212493,-105.27633575786817,-104.35191859762156
1091,41,3.78,-53.34135618645142,-52.39903484251563,-52.65873469869578
1094,66,3.9,-88.06171960383674,-87.96512215954856,-88.34425868551219
1095,70,3.84,-85.97928352302533,-84.98391892604626,-85.18378200094187
1096,91,3.58,-106.10428631349632,-106.1304057646471,-108.35832728902781
1097,55,3.67,-71.66096668172892,-72.31072634560925,-72.92220058004344
