E,EA,EAS
-73.5713255782277,-73.35649711474485,-72.739586
-73.49412827408182,-73.46649269681501,-72.84013
-73.53193580639415,-73.48715286445565,-72.546005
-73.42655915436123,-73.42877351750485,-72.673
-73.40456689452627,-73.51157000824082,-72.69461
-73.5124786793809,-73.33858099649247,-72.66539
-73.46124762485778,-73.5519125531721,-72.7166
-73.63196089488333,-73.4867331866906,-72.8259
-73.45997693264468,-73.39161165445647,-72.55148
-73.54535838269479,-73.24624641338448,-72.71591
-73.64353580016287,-73.54949248062917,-72.559654
-73.50992860565056,-73.44952006405946,-72.734024
-73.58329190033126,-73.56456761786531,-72.742325
-73.45476389666744,-73.42541092414997,-72.61295
-73.45213347489309,-73.60328474242988,-72.734085
-73.48625057456121,-73.61251146256016,-72.51764
-73.68828724792627,-73.5753099157346,-72.50794
-73.33554076337167,-73.37653640439585,-72.828674
-73.49594851782294,-73.37653640439585,-72.886246
-73.52626382294928,-73.32835843136192,-72.385544
-73.45977857057458,-73.58761106186003,-72.42154
-73.50700475001324,-73.3583356615878,-72.694916
-73.61433550520982,-73.3748400056376,-72.853134
-73.63984473624541,-73.5043749500297,-72.49896
-73.51508201962645,-73.52857610612489,-72.750725
-73.58482270756267,-73.63100732132477,-72.60069
-73.47163165224981,-73.38552117775407,-72.59213
-73.60918532679995,-73.24183883742393,-72.62886
-73.40383608735848,-73.35173836907391,-72.82435
-73.4115490969379,-73.34653280516707,-72.53262
-73.52700159593266,-73.85861467375075,-72.702896
-73.33069318218458,-73.43716095683445,-72.8124
-73.48913390927528,-73.49944914910938,-72.60722
-73.59713389364435,-73.39175409117149,-72.71353
-73.47764693498087,-73.5641589875911,-72.703384
-73.47633461121166,-73.66562583933191,-72.62283
-73.5869749417151,-73.58923644301008,-72.81896
-73.5650273888478,-73.50489444451419,-72.58227
-73.47074238491942,-73.55332098292214,-72.787254
-73.47218780232869,-73.4746736108536,-72.629395
-73.54792161709175,-73.55006269071521,-72.60887
-73.43186997511386,-73.35486348206396,-72.53737
-73.60468122957218,-73.31291720263695,-72.70131
-73.39936758849049,-73.5070419441945,-72.79399
-73.43796355679724,-73.53378107887488,-72.58828
-73.4771900423045,-73.56909646140966,-72.52422
-73.55107324815863,-73.5377793836065,-72.62619
-73.46957634314082,-73.41303495507523,-72.80128
-73.53432877094654,-73.30622045247982,-72.794495
-73.67686797951296,-73.63986645901616,-72.61505
-73.58297667086028,-73.52781965289562,-72.605606
-73.58256868753617,-73.5290329120715,-72.54584
-73.42241030474398,-73.39140327351494,-72.53609
-73.40545397830448,-73.45504188631702,-72.61505
-73.52511500894508,-73.58219011225202,-72.66071
-73.63210487051023,-73.533869102439,-72.49509
-73.43621127771983,-73.72278765721772,-72.82757
-73.44957165801371,-73.52668343035083,-72.858536
-73.59635176747827,-73.44520551026967,-72.81454
-73.39096237835003,-73.46672720850992,-72.56261
-73.65155293118666,-73.40292236108164,-72.70143
-73.59915387967052,-73.41534446605482,-72.57538
-73.46400709495141,-73.49724416424658,-72.63014
-73.26827296874734,-73.42553868995518,-72.51853
-73.2997651732012,-73.48170932514986,-72.64224
-73.52258446779385,-73.34318336699747,-72.78213
-73.52540578776933,-73.37656863227348,-72.79501
-73.45645744038238,-73.63531732204171,-72.69942
-73.54539681798543,-73.55034465505955,-72.80896
-73.61156459806419,-73.5357130776451,-72.76752
-73.54504897636984,-73.42492111366907,-72.71474
-73.42773925340703,-73.47302089709838,-72.7892
