E,EA,EAS,ind
-361.7872550151597,-361.17794022678527,-355.5869060403134,-422.1748499430632
-362.73682846114207,-361.9060265194016,-355.49721191524065,-422.1748499430632
-361.8342428929871,-360.59174533218686,-354.30702923523694,-422.1748499430632
-361.0761055295051,-360.94850859305336,-354.77970077137786,-422.1748499430632
-361.150539636467,-360.7706954096464,-353.10066879992667,-422.1748499430632
-361.1813380020351,-361.4919037835434,-354.6125072053024,-422.1748499430632
-361.4315575744366,-362.3566801863778,-354.01683557247304,-422.1748499430632
-361.4683357336721,-361.98197624394993,-354.40082720605466,-422.1748499430632
-361.44517523233606,-361.2704283921014,-355.98297374015755,-422.1748499430632
-360.9492761964193,-361.7046768051305,-352.30486064064746,-422.1748499430632
-362.7780208476355,-362.0779171003795,-354.002641979176,-422.1748499430632
-361.1292341621517,-360.1175529193532,-354.59132604957534,-422.1748499430632
-361.88803351522097,-360.7964481876629,-356.81153922391246,-422.1748499430632
-361.4481239325775,-361.553067601682,-353.0381374573868,-422.1748499430632
-361.53194087887294,-360.83313008876814,-354.31970239313074,-422.1748499430632
-361.0438064337857,-361.75708282599646,-356.75665765747294,-422.1748499430632
-361.4392812484605,-361.2921380714668,-353.5207664697049,-422.1748499430632
-360.98798684759697,-360.8241943084125,-354.400864412397,-422.1748499430632
-360.6466353011143,-360.7876882203048,-353.7024180442496,-422.1748499430632
-362.0353019401597,-361.7108527866253,-354.1115734666845,-422.1748499430632
-360.0715134389054,-362.0059917435103,-355.028086544929,-422.1748499430632
-361.6723802769653,-360.5646402244869,-353.8128631916014,-422.1748499430632
-362.62948210320354,-361.9878949864983,-352.9746991061287,-422.1748499430632
-363.3525189100208,-361.59444960574353,-353.55623507956943,-422.1748499430632
-361.5884578683001,-361.17430038039214,-353.0069055946364,-422.1748499430632
-361.9949640280294,-361.2407305712189,-354.1072269433106,-422.1748499430632
-360.9785845201404,-362.0304230913018,-353.7269570194095,-422.1748499430632
-361.11637530648784,-361.3139381486043,-354.36559888162526,-422.1748499430632
-361.6943836614416,-361.499519555992,-354.1855660142808,-422.1748499430632
-360.4307389155314,-360.48268977776775,-353.45437138813804,-422.1748499430632
-362.755410883776,-362.2271382671007,-353.39235422891454,-422.1748499430632
-362.6197783723604,-360.7760507499949,-351.6615925944726,-422.1748499430632
-361.7454587567588,-361.93029746187216,-353.2889973586083,-422.1748499430632
-361.159305612147,-361.26127308663,-353.0829113747879,-422.1748499430632
-362.0763703437353,-362.876338860212,-353.692137137605,-422.1748499430632
-361.3565691225257,-362.2506795638233,-353.297991268691,-422.1748499430632
-361.5760922983906,-360.84031874738537,-355.2793000658831,-422.1748499430632
-361.9196194294469,-361.3698393836012,-355.0088190347674,-422.1748499430632
-361.7985105428473,-361.3439343915397,-355.61418622779985,-422.1748499430632
-362.2255932892048,-360.88483893800026,-354.2677840708736,-422.1748499430632
-360.9009036212794,-361.1470136043502,-353.5272845830308,-422.1748499430632
-362.48601231613134,-362.9655606932429,-354.1488175272476,-422.1748499430632
-362.1434962467059,-360.8853266130088,-355.6978393474494,-422.1748499430632
-360.4182974300288,-361.3321134494861,-353.00110348273165,-422.1748499430632
-361.5395721162165,-360.95428475680615,-353.4276900642433,-422.1748499430632
-361.58268399396775,-361.2878425262074,-354.97071915359925,-422.1748499430632
-362.5285717117855,-361.22320782870463,-354.0599992825174,-422.1748499430632
-362.0358600221597,-362.1515003979149,-355.9239239670931,-422.1748499430632
-361.95536800537366,-361.3952913286753,-354.3436953213088,-422.1748499430632
-361.0536429176068,-362.0574298857516,-356.26782182913445,-422.1748499430632
-361.5179250453783,-361.5593453281072,-354.7987645726319,-422.1748499430632
-362.4801631583008,-360.4462314110996,-353.8624704529005,-422.1748499430632
-361.28143404066304,-362.21589132653713,-353.79450343231906,-422.1748499430632
-361.25647435231417,-359.5415464577513,-354.94001290136407,-422.1748499430632
-362.5220691018218,-362.30710629419445,-352.6020721528897,-422.1748499430632
-361.2336182663243,-360.754189047364,-355.6871876504744,-422.1748499430632
