recid,eqid,magnitude,region,station_longitude,station_latitude,epi_dist,epi_azimuth,vs30,scaled_deltaW
15219,1108,3.9,CALIFORNIA,-117.48901,36.05799,245.60035224055176,-0.1418218265702995,760.0,-1.4695936540384744
15220,1108,3.9,CALIFORNIA,-119.81362,34.88848,273.7678405822473,-1.1308080096635276,522.0,-0.7534734543159674
15222,1108,3.9,CALIFORNIA,-120.17737,34.53412,292.7739823921445,-1.3002601807430845,297.0,-0.2855370788642813
15223,1108,3.9,CALIFORNIA,-115.946,33.556,112.72993068308472,1.876163420168927,352.0,0.3933652682654691
15224,1108,3.9,CALIFORNIA,-118.1711,34.1484,103.41571459622917,-1.2589896109095011,639.74,-3.080801844126821
15225,1108,3.9,CALIFORNIA,-118.58215,34.44199,150.50906680652892,-1.1259822257467975,471.92,-1.2288926971673046
15226,1108,3.9,CALIFORNIA,-117.80709,34.09181,69.60862087043577,-1.2009929377207662,462.66,-1.893459871267232
15227,1108,3.9,CALIFORNIA,-118.478,34.281,134.9003678991729,-1.2167367372076368,282.25,0.7106728222352814
15228,1108,3.9,CALIFORNIA,-117.97956,34.10473,85.10807371059502,-1.2515113689723172,371.97,-1.431233203411376
15229,1108,3.9,CALIFORNIA,-118.40412,33.74346,121.17966256492574,-1.6777988287790524,529.99,-0.4282054268817821
15230,1108,3.9,CALIFORNIA,-118.08085,34.05073,92.57858112423996,-1.344088594965187,278.64,-0.716766645391176
15231,1108,3.9,CALIFORNIA,-115.98585,33.2801,122.51738660928532,2.1255350477501103,253.0,0.1464360759349153
15232,1108,3.9,CALIFORNIA,-118.4879,32.915,166.52522920833243,-2.250900224488727,442.0,0.1863441410023675
15233,1108,3.9,CALIFORNIA,-119.1375,34.43692,197.9112541179824,-1.2357472546030812,351.22,1.0833620602672267
15234,1108,3.9,CALIFORNIA,-116.27515,35.8996,237.87470446515613,0.3199825926961564,356.0,1.9369942613041644
15235,1108,3.9,CALIFORNIA,-117.28332,35.89095,225.1326421853492,-0.0720723170252683,482.0,0.4249038316824481
15236,1108,3.9,CALIFORNIA,-119.18676,34.30302,198.22821935721203,-1.3141660095378904,489.62,-0.0087043762014427
15237,1108,3.9,CALIFORNIA,-115.79988,32.94508,158.6404700511306,2.264923743531792,503.0,-0.3947857496879964
15238,1108,3.9,CALIFORNIA,-117.67822,34.38203,77.92099502127658,-0.7450194490234235,586.0,-0.8215703945115025
15239,1108,3.9,CALIFORNIA,-118.14035,35.53664,208.144532750228,-0.4686457698950656,402.0,0.4247329423994677
15245,1110,3.86,CALIFORNIA,-117.43391,34.55046,39.36760798753698,-0.1067751817026755,375.0,-1.173246221421446
15246,1110,3.86,CALIFORNIA,-118.29946,34.68708,99.80891556013854,-0.991091797705105,347.0,-1.3216263044068937
15247,1110,3.86,CALIFORNIA,-116.67215,32.68005,181.00481064050624,2.76143470923561,511.0,0.6134366796657433
15248,1110,3.86,CALIFORNIA,-116.92075,34.2623,43.66240022701729,1.4033797596086894,356.0,-0.9846772046014924
15249,1110,3.86,CALIFORNIA,-116.981,33.921,48.52390754127662,2.2533142890748463,341.0,0.7808011733826202
15251,1110,3.86,CALIFORNIA,-117.65853,34.23883,25.326691153328643,-1.387894036395926,500.0,0.3936371642788543
15252,1110,3.86,CALIFORNIA,-116.417,33.268,136.86386372134103,2.419228046896732,619.0,0.6292354987937652
15253,1110,3.86,CALIFORNIA,-117.98116,33.80776,69.78931012270286,-2.23613730776428,265.59,-0.1128437417872714
15254,1110,3.86,CALIFORNIA,-118.57398,34.68224,121.51801264891664,-1.1066756220344658,461.0,0.3422175315221187
15255,1110,3.86,CALIFORNIA,-117.36453,35.52495,147.26953086158983,0.0145798497578383,432.0,-0.933056480127028
15257,1110,3.86,CALIFORNIA,-117.68,33.999,34.79008898956464,-2.2550642644356014,292.0,-0.5792994050868536
15258,1110,3.86,CALIFORNIA,-118.41502,33.4019,129.73105422187166,-2.313975888116872,505.0,0.7335298793895199
15260,1110,3.86,CALIFORNIA,-117.317,34.093,13.332060810454031,2.6262376815969994,267.92,0.5879307083777755
15261,1110,3.86,CALIFORNIA,-117.561,33.876,39.07919113199164,-2.72012430877964,392.7,1.3731272739400462
15262,1110,3.86,CALIFORNIA,-115.99,33.655,142.60466051584922,1.999660505726741,370.0,0.7673204123555692
15263,1110,3.86,CALIFORNIA,-118.33383,34.25353,87.35051608690138,-1.4950712847676426,434.29,-0.8426600316271008
15264,1110,3.86,CALIFORNIA,-116.57794,33.93597,80.22944243949884,1.9369447537181368,396.06,-0.4536371872757984
15265,1110,3.86,CALIFORNIA,-117.009,33.65,70.13429685621495,2.616204299027644,576.04,0.7681051508584105
15266,1110,3.86,CALIFORNIA,-118.45505,34.10618,98.90570384648454,-1.6682764513715231,668.72,-1.9082593235455951
15267,1110,3.86,CALIFORNIA,-116.631,33.567,98.9917395499613,2.3517595868800627,361.0,0.7407910659235046
15268,1110,3.86,CALIFORNIA,-116.942,32.999,139.24397124814175,2.837434457861087,611.0,0.3375398516105476
15270,1110,3.86,CALIFORNIA,-118.29381,33.71264,99.50183361417606,-2.1375386759328387,393.26,-1.2461234001714243
15272,1110,3.86,CALIFORNIA,-116.80574,35.30177,133.59843361358958,0.4077578550085252,679.0,-0.1205438839412639
15273,1110,3.86,CALIFORNIA,-116.335,34.8294,119.43492466688544,0.9384879975440052,726.0,0.2648411402293241
15274,1110,3.86,CALIFORNIA,-116.5959,33.0859,143.54913697184494,2.600201046609856,655.67,0.1268723333745814
15275,1110,3.86,CALIFORNIA,-116.61266,34.36622,73.81933312521082,1.3108126335708452,388.0,-0.1872413058722552
15276,1110,3.86,CALIFORNIA,-115.18416,35.13066,226.9864564791065,1.086420362747412,448.0,0.6194005514004063
15277,1110,3.86,CALIFORNIA,-118.34156,34.9906,124.04548060001488,-0.7777716927213421,378.0,0.12177767458517
