x,y,vs30,epi_dist,epi_azimuth
-11.999999999999998,-14.4,750.0,25.384247083575275,3.4209745632546205
-11.599999999999998,-14.4,750.0,25.276866894455093,3.4057628181704507
-11.199999999999998,-14.4,750.0,25.17538480341462,3.3904248621889406
-10.799999999999995,-14.4,750.0,25.079872407968903,3.3749664218415862
-10.399999999999997,-14.4,750.0,24.990398156091867,3.359393544126212
-9.999999999999996,-14.4,750.0,24.907027120874943,3.3437125877392866
-9.599999999999996,-14.4,750.0,24.829820780666136,3.3279302123668417
-9.199999999999996,-14.4,750.0,24.75883680627989,3.3120533660327167
-8.799999999999995,-14.4,750.0,24.694128856876077,3.296089270524174
-8.399999999999995,-14.4,750.0,24.635746386095143,3.28004540493705
-7.999999999999995,-14.4,750.0,24.583734460004237,3.2639294874052887
-7.599999999999994,-14.4,750.0,24.538133588355898,3.247749455102429
